date,title,title_es,location,description,description_es,flyerFile
2025-02-16,"Winter ACM — GV/LV Booth","ACM de Invierno — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Winter Area Committee Meeting.","Mesa de Grapevine y La Viña en la Reunión del Comité de Área de Invierno de NETA 65.",
2025-03-14,"Spring Assembly — GV/LV Booth","Asamblea de Primavera — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Spring Assembly.","Mesa de Grapevine y La Viña en la Asamblea de Primavera de NETA 65.",
2025-04-06,"Spring ACM — GV/LV Booth","ACM de Primavera — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Spring Area Committee Meeting.","Mesa de Grapevine y La Viña en la Reunión del Comité de Área de Primavera de NETA 65.",
2025-06-27,"Summer Assembly — GV/LV Booth","Asamblea de Verano — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Summer Assembly.","Mesa de Grapevine y La Viña en la Asamblea de Verano de NETA 65.",
2025-09-20,"Fall Assembly — GV/LV Booth","Asamblea de Otoño — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Fall Assembly.","Mesa de Grapevine y La Viña en la Asamblea de Otoño de NETA 65.",
2025-10-12,"Fall ACM — GV/LV Booth","ACM de Otoño — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Fall Area Committee Meeting.","Mesa de Grapevine y La Viña en la Reunión del Comité de Área de Otoño de NETA 65.",
2026-02-22,"Winter ACM — GV/LV Booth","ACM de Invierno — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Winter Area Committee Meeting. Volunteers welcome!","Mesa de Grapevine y La Viña en la Reunión del Comité de Área de Invierno de NETA 65. ¡Se buscan voluntarios!",
2026-03-20,"Spring Assembly — GV/LV Booth","Asamblea de Primavera — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Spring Assembly. Volunteers welcome!","Mesa de Grapevine y La Viña en la Asamblea de Primavera de NETA 65. ¡Se buscan voluntarios!",
2026-03-28,"LV Writing Workshop — Hispanic Districts","Taller de Escritura de LV — Distritos Hispanos","Grupo La Esperanza (District 89)","La Viña writing workshop hosted by District 89 for Hispanic districts. Share your story in Spanish!","Taller de escritura de La Viña organizado por el Distrito 89 para distritos hispanos. ¡Comparte tu historia en español!",
2026-04-11,"GV/LV Information Table at Dallas CityWide","Mesa Informativa de GV/LV en Dallas CityWide","Lover's Lane UMC, Dallas","Grapevine and La Viña information table at the Dallas CityWide event.","Mesa informativa de Grapevine y La Viña en el evento Dallas CityWide.",
2026-04-11,"LV Writing Workshop","Taller de Escritura de LV","Grupo Nuevo Horizonte (District 90)","La Viña writing workshop hosted by District 90. Come share your experience, strength, and hope in Spanish!","Taller de escritura de La Viña organizado por el Distrito 90. ¡Ven a compartir tu experiencia, fortaleza y esperanza en español!",
2026-04-12,"Spring ACM — GV/LV Booth","ACM de Primavera — Mesa de GV/LV","NETA 65","Grapevine and La Viña booth at the NETA 65 Spring Area Committee Meeting. Volunteers welcome!","Mesa de Grapevine y La Viña en la Reunión del Comité de Área de Primavera de NETA 65. ¡Se buscan voluntarios!",
2026-04-18,"GV Writing Workshop","Taller de Escritura de GV","Ross Avenue Group","Grapevine writing workshop at Ross Avenue Group. Learn how to submit your story to AA Grapevine!","Taller de escritura de Grapevine en Ross Avenue Group. ¡Aprende cómo enviar tu historia a AA Grapevine!",
2026-04-18,"Presentation — Comité Permanente de LV","Presentación — Comité Permanente de LV","TBD","Presentation by the La Viña Standing Committee. Location to be announced.","Presentación del Comité Permanente de La Viña. Ubicación por anunciar.",
2026-04-25,"Abilene 80th Anniversary","80 Aniversario de Abilene","Abilene, TX","AA Abilene 80th Anniversary celebration. Come visit the GV/LV display!","Celebración del 80 Aniversario de AA Abilene. ¡Visita la exhibición de GV/LV!",
2026-05-02,"GV Writing Workshop","Taller de Escritura de GV","Golden Triangle Group","Grapevine writing workshop at Golden Triangle Group. Share your experience, strength, and hope!","Taller de escritura de Grapevine en Golden Triangle Group. ¡Comparte tu experiencia, fortaleza y esperanza!",
2026-05-09,"LV Writing Workshop","Taller de Escritura de LV","Grupo 31 de Octubre","La Viña writing workshop at Grupo 31 de Octubre. Come share your story in Spanish!","Taller de escritura de La Viña en Grupo 31 de Octubre. ¡Ven a compartir tu historia en español!",
2026-05-17,"LV Writing Workshop","Taller de Escritura de LV","Grupo Hijos del Caos","La Viña writing workshop at Grupo Hijos del Caos. Share your experience in Spanish!","Taller de escritura de La Viña en Grupo Hijos del Caos. ¡Comparte tu experiencia en español!",
2026-05-22,"Gathering of the Eagles","Encuentro de las Águilas","Dallas / Richardson","Gathering of the Eagles — May 22–24. Come visit the GV/LV booth!","Encuentro de las Águilas — 22 al 24 de mayo. ¡Visita la mesa de GV/LV!",
2026-07-24,"Texas State Convention","Convención Estatal de Texas","Fort Worth, TX","Texas State Convention — July 24–26. Come visit the GV/LV booth!","Convención Estatal de Texas — 24 al 26 de julio. ¡Visita la mesa de GV/LV!",
2026-09-04,"Big Country Conference","Conferencia Big Country","Abilene, TX","Big Country Conference — September 4–6. Come visit the GV/LV booth!","Conferencia Big Country — 4 al 6 de septiembre. ¡Visita la mesa de GV/LV!",
