year,title,title_es,desc,desc_es,type
June 1944,The AA Grapevine Debuts,Debuta el AA Grapevine,"An eight-page bulletin created by four women and two men in New York debuts with a print run of 1,200 copies — connecting members, especially soldiers overseas in WWII.","Un boletín de ocho páginas creado por cuatro mujeres y dos hombres en Nueva York debuta con un tiraje de 1,200 copias — conectando miembros, especialmente soldados en el extranjero durante la Segunda Guerra Mundial.",grapevine
1945,Adopted as the National Journal,Adoptado como la Revista Nacional,"Following a Fellowship-wide vote, the Grapevine is officially adopted as the national journal of Alcoholics Anonymous.","Tras una votación de toda la Comunidad, el Grapevine es adoptado oficialmente como la revista nacional de Alcohólicos Anónimos.",grapevine
April 1946,The Twelve Traditions Published,Se Publican las Doce Tradiciones,"Bill W. publishes the 'Twelve Suggested Points for A.A. Tradition' — the Grapevine serves as the crucial medium for testing and communicating these unifying principles.","Bill W. publica los 'Doce Puntos Sugeridos para la Tradición de A.A.' — el Grapevine sirve como medio crucial para probar y comunicar estos principios unificadores.",grapevine
June 1947,The A.A. Preamble First Appears,Aparece por Primera Vez el Preámbulo de A.A.,"Written by an editor based on the Big Book's foreword, a statement defining the Fellowship appears for the first time and is quickly adopted worldwide.","Escrito por un editor basándose en el prólogo del Libro Grande, una declaración que define la Comunidad aparece por primera vez y es rápidamente adoptada mundialmente.",grapevine
1948,"AA Grapevine, Inc. Formed","Se Forma AA Grapevine, Inc.","Incorporated as a separate corporate entity with a dedicated board of directors, establishing its organizational independence.","Incorporada como entidad corporativa separada con una junta directiva dedicada, estableciendo su independencia organizacional.",grapevine
September 1948,Digest-Size Format Adopted,Se Adopta el Formato de Bolsillo,"Transitions from a large newsletter to the compact, pocket-sized digest format — a shape retained ever since.","Transición de un boletín grande al formato compacto de bolsillo — una forma que se mantiene hasta hoy.",grapevine
1949,Becomes the International Journal,Se Convierte en la Revista Internacional,"As readership expands to Canada, Europe, and beyond, the subtitle changes to 'The International Monthly Journal of Alcoholics Anonymous.'","A medida que la lectura se expande a Canadá, Europa y más allá, el subtítulo cambia a 'La Revista Mensual Internacional de Alcohólicos Anónimos.'",grapevine
July 1950,First International Convention Coverage,Primera Cobertura de Convención Internacional,"Special coverage of the first A.A. International Convention in Cleveland, where the Twelve Traditions are officially adopted by the Fellowship.","Cobertura especial de la primera Convención Internacional de A.A. en Cleveland, donde las Doce Tradiciones son adoptadas oficialmente por la Comunidad.",grapevine
December 1950,'Your Third Legacy' Proposal,Propuesta 'Su Tercer Legado',Bill W. and Dr. Bob use the Grapevine to introduce the proposal for a General Service Conference.,Bill W. y el Dr. Bob usan el Grapevine para presentar la propuesta de una Conferencia de Servicios Generales.,grapevine
December 1955,'Man on the Bed' Painting,Pintura 'El Hombre en la Cama',"The iconic painting by Robert M. makes its first appearance in the centerfold and becomes one of the most recognized pieces of A.A. artwork.","La icónica pintura de Robert M. aparece por primera vez en la página central y se convierte en una de las obras de arte más reconocidas de A.A.",grapevine
January 1958,Bill W.'s 'Emotional Sobriety','Sobriedad Emocional' de Bill W.,"Bill W. publishes 'The Next Frontier: Emotional Sobriety' — a landmark article about depression and growth.","Bill W. publica 'La Próxima Frontera: Sobriedad Emocional' — un artículo histórico sobre la depresión y el crecimiento.",grapevine
1958,Victor E. Cartoon Debuts,Debuta la Caricatura de Victor E.,"The beloved, wordless comic strip character 'Victor E.' first appears, bringing lighthearted humor to the daily struggles and triumphs of recovery.","El querido personaje de tira cómica sin palabras 'Victor E.' aparece por primera vez, trayendo humor ligero a las luchas diarias y triunfos de la recuperación.",grapevine
1961,First Grapevine Book Published,Se Publica el Primer Libro del Grapevine,"'AA Today' is published to commemorate A.A.'s 25th anniversary, beginning Grapevine's broader publishing efforts.","'AA Hoy' se publica para conmemorar el 25 aniversario de A.A., iniciando los esfuerzos editoriales más amplios del Grapevine.",grapevine
1962,GVR Program Formalized,Se Formaliza el Programa de GVR,"A Conference Advisory Action recommends rotating delegates become Grapevine representatives, formalizing the GVR program.","Una Acción Consultiva de la Conferencia recomienda que los delegados rotativos se conviertan en representantes de Grapevine, formalizando el programa de GVR.",grapevine
December 1970,Bill W.'s Final Article,Último Artículo de Bill W.,"Co-founder Bill W.'s last article is published, shortly before his passing in January 1971. He contributed over 150 articles.","Se publica el último artículo del cofundador Bill W., poco antes de su fallecimiento en enero de 1971. Contribuyó con más de 150 artículos.",grapevine
1971,Corporate Restructuring,Reestructuración Corporativa,"AA Grapevine, Inc. changes from a stock corporation to a Membership Corporation with General Service Board trustees as members.","AA Grapevine, Inc. cambia de una corporación por acciones a una Corporación de Membresía con custodios de la Junta de Servicios Generales como miembros.",grapevine
1978,"Circulation Reaches 100,000","La Circulación Alcanza 100,000","Under strong editorial leadership, circulation nearly doubles and passes the 100,000 milestone.","Bajo un fuerte liderazgo editorial, la circulación casi se duplica y supera la marca de 100,000.",grapevine
1985,Best of the Grapevine Published,Se Publica Lo Mejor del Grapevine,"The first 'Best of the Grapevine' anthology is published, compiling favorite stories from the first four decades.","Se publica la primera antología 'Lo Mejor del Grapevine', recopilando historias favoritas de las primeras cuatro décadas.",grapevine
1986,Conference Recognizes Grapevine,La Conferencia Reconoce al Grapevine,The General Service Conference formally recognizes the Grapevine as the international journal of Alcoholics Anonymous.,La Conferencia de Servicios Generales reconoce formalmente al Grapevine como la revista internacional de Alcohólicos Anónimos.,grapevine
1988,The Language of the Heart Published,Se Publica El Lenguaje del Corazón,"A hardcover anthology of over 150 articles by Bill W. is published, documenting A.A.'s spiritual principles.","Se publica una antología de pasta dura con más de 150 artículos de Bill W., documentando los principios espirituales de A.A.",grapevine
June 1989,First Full-Color Cover,Primera Portada a Todo Color,"The June 1989 issue features the Grapevine's first full-color cover, modernizing its visual presentation.","La edición de junio de 1989 presenta la primera portada a todo color del Grapevine, modernizando su presentación visual.",grapevine
July 1995,Spanish Edition Pilot,Edición Piloto en Español,A special Conference-approved Spanish edition is produced — the pilot project that leads directly to La Viña's launch.,Se produce una edición especial en español aprobada por la Conferencia — el proyecto piloto que lleva directamente al lanzamiento de La Viña.,lavina
Summer 1996,La Viña Debuts,Debuta La Viña,"The first issue of La Viña, A.A.'s bimonthly Spanish-language magazine, is published — rapidly becoming a vital lifeline for Spanish-speaking alcoholics.","Se publica el primer número de La Viña, la revista bimestral en español de A.A. — convirtiéndose rápidamente en un vínculo vital para los alcohólicos de habla hispana.",lavina
1997,Grapevine Goes Online,Grapevine Se Conecta en Línea,"aagrapevine.org launches, marking the transition of the 'meeting in print' into the digital age.","Se lanza aagrapevine.org, marcando la transición de 'la reunión impresa' a la era digital.",grapevine
2001,La Viña Recognized as Permanent,La Viña Reconocida como Permanente,"The General Service Conference officially recognizes La Viña as an essential, permanent service to the Spanish-speaking fellowship worldwide.","La Conferencia de Servicios Generales reconoce oficialmente a La Viña como un servicio esencial y permanente para la comunidad hispanohablante en todo el mundo.",lavina
