id,title,lang
V3RzyHdgQCY,"AA's Twelfth Step Tools: Grapevine and La Viña",
DCw44sBSZK8,"Why AA Members Love Grapevine Digital Subscription",
5qAs2XUiiN0,"Rasha — 'It's a disease of perception'",
6w0jk__3HGs,"Gary S. — 'Finding out I was powerless gave me hope'",
0maeGVBwXyE,"Myra G. — 'Whatever you do, be honest'",
V5Kv6LJObvc,"A Simple Meditation from Victor E.",
cxFByQnrem0,"Like an Old Boxer [Season 10, Ep 1]",
7Y-IAqang6M,"I Saw Smiles and Lights in Eyes [Season 10, Ep 2]",
4gb-W2cLUK0,"Hell on Earth [Season 10, Ep 3]",
C4Z9sNMxt7I,"God!? Fine, I'll Try It [Season 10, Ep 4]",
JPpgwfiYRco,"We Can Stay Sober Through Anything [Season 10, Ep 5]",
jxlDJkAPrys,"Mustard Seed [Season 10, Ep 6]",
XnCSgC3Sqg4,"Progression and Obsession [Season 10, Ep 7]",
gE-o5nJfSkk,"Embrace Who I Am [Season 10, Ep 8]",
k7qVMY3i1WU,"Just Like Dad [Season 10, Ep 9]",
gSpKuP0Sh7c,"Isn't Every Hour Happy Hour? [Season 10, Ep 10]",
A90dm68ejuQ,"Contrary Action [Season 10, Ep 11]",
aJ1plRRwimE,"Getting Sober When You're Older [Season 10, Ep 12]",
YO0n7Tg2T9g,"World Panel [Season 9, Ep 1]",
Qn44mtoUtEI,"Faith Without Works is Dead [Season 9, Ep 2]",
F0gNoAtAnB8,"You'll Find Your Story [Season 9, Ep 3]",
RkBx7qjrMuU,"Live from the International Convention in Vancouver [Season 9, Ep 4]",
SgPIoR4jdjA,"The Coffee God [Season 9, Ep 5]",
O4IPMwxf8TQ,"You Can Be Free [Season 9, Ep 6]",
SwgfJ8udHFY,"The Language of the Heart [Season 9, Ep 7]",
D7bwFPFBNYo,"Maybe That Someone is You [Season 9, Ep 8]",
HymK6HweC80,"Dreams Come True [Season 9, Ep 9]",
MOO1UNIDg3A,"Staying Connected [Season 9, Ep 10]",
wof9jNZpcEE,"I Could Have Missed All This [Season 9, Ep 11]",
KhgxvIKZc6U,"Room to Grow [Season 9, Ep 12]",
EQsMlveaAew,"Courage to Change [Season 9, Ep 13]",
qx1bZalMgwo,"Can't Wait to See What's Next [Season 9, Ep 14]",
XrHz3bUg86A,"Love Will Win Everything [Season 9, Ep 15]",
jXoB4SMh-hM,"Hot Topic: Twelve-Step Calls [Season 9, Ep 16]",
x87fGzwcCEc,"But I Didn't Drink [Season 9, Ep 17]",
pZmmXKHJrm8,"Learning to Trust [Season 9, Ep 18]",
imuu3qb1QD8,"Growing Up in AA [Season 9, Ep 19]",
YTq4u9QKD48,"Anyone, Anywhere [Season 9, Ep 20]",
qh_bN7c9PrA,"I Didn't Think I Had Anything to Give [Season 9, Ep 21]",
5l74h_X6fQw,"All Our Affairs [Season 9, Ep 22]",
GkIWMhwlJjo,"Don't Should on Yourself [Season 9, Ep 23]",
h29xJWQDGRo,"Move Toward Love [Season 9, Ep 24]",
